,"S, Subarray Size",Comparisons
844,845,126665.2
845,846,125491.6
846,847,127808.8
847,848,126652.6
848,849,125367.4
849,850,127332.4
850,851,125831.4
851,852,125230.4
852,853,126506.6
853,854,124429.0
854,855,126927.0
855,856,128087.8
856,857,127751.2
857,858,128676.8
858,859,126166.0
859,860,127204.2
860,861,126066.4
861,862,127805.2
862,863,125631.2
863,864,127172.4
864,865,126411.6
865,866,128604.2
866,867,126163.4
867,868,124558.0
868,869,127071.4
869,870,128563.8
870,871,126736.2
871,872,127135.0
872,873,125906.4
873,874,129259.2
874,875,126115.2
875,876,127191.0
876,877,127236.8
877,878,127610.0
878,879,127442.8
879,880,125814.6
880,881,127349.0
881,882,126517.0
882,883,128245.2
883,884,127371.0
884,885,126574.4
885,886,126107.2
886,887,127287.8
887,888,126599.6
888,889,125763.2
889,890,125650.6
890,891,126957.4
891,892,126614.0
892,893,127611.8
893,894,130179.6
894,895,125967.6
895,896,127262.2
896,897,128326.4
897,898,125288.8
898,899,127408.6
899,900,126231.0
900,901,126227.6
901,902,125799.8
902,903,127224.2
903,904,126783.6
904,905,125863.2
905,906,126528.0
906,907,126247.2
907,908,128242.2
908,909,127847.6
909,910,128008.6
910,911,127144.0
911,912,126038.0
912,913,125232.2
913,914,128739.2
914,915,125241.6
915,916,126427.4
916,917,128176.4
917,918,126653.4
918,919,128444.4
919,920,126269.6
920,921,126937.8
921,922,128595.2
922,923,126927.2
923,924,126817.2
924,925,125709.6
925,926,128285.8
926,927,126328.2
927,928,126136.0
928,929,127365.0
929,930,124571.0
930,931,125914.8
931,932,124455.0
932,933,125209.8
933,934,125742.6
934,935,125017.2
935,936,128109.6
936,937,127944.0
937,938,126417.4
938,939,126844.4
939,940,128353.0
940,941,127273.6
941,942,125599.2
942,943,125984.2
943,944,127578.0
944,945,125617.6
945,946,127781.2
946,947,127816.6
947,948,127073.4
948,949,128326.6
949,950,126550.6
950,951,126017.2
951,952,126000.2
952,953,126412.4
953,954,127642.0
954,955,128438.6
955,956,125406.0
956,957,125716.6
957,958,126635.0
958,959,126812.6
959,960,126893.2
960,961,126901.2
961,962,126008.6
962,963,127554.2
963,964,126461.8
964,965,128572.2
965,966,128732.6
966,967,125542.8
967,968,127400.8
968,969,127331.6
969,970,127889.4
970,971,126840.0
971,972,124393.0
972,973,128425.4
973,974,125088.4
974,975,127014.8
975,976,124298.8
976,977,126716.0
977,978,126206.0
978,979,125256.0
979,980,128210.0
980,981,129632.0
981,982,126694.6
982,983,127726.0
983,984,126377.0
984,985,125491.4
985,986,124405.8
986,987,126583.6
987,988,124976.0
988,989,127221.2
989,990,127398.8
990,991,127384.2
991,992,126663.6
992,993,127484.8
993,994,126190.6
994,995,124505.8
995,996,126617.4
996,997,130402.8
997,998,127520.4
998,999,128847.0
999,1000,246927.8
